"x"
"-18.60056667 20.85398333"
"-18.59975 20.85038333"
"-18.59986667 20.84896667"
"-18.59581667 20.8432"
"-18.5857 20.83976667"
"-18.58908333 20.83133333"
"-18.5892 20.83591667"
"-18.5863 20.8398"
"-18.58661667 20.84076667"
"-18.58761667 20.8432"
"-18.58993333 20.84938333"
"-18.5977 20.84703333"
"-18.59925 20.85455"
"-18.60113333 20.86118333"
"-18.60101667 20.86431667"
"-18.60135 20.86436667"
"-18.6011 20.86508333"
"-18.60048333 20.86685"
"-18.60243333 20.87663333"
"-18.60211667 20.8728"
"-18.6013333299999 20.86733333"
"-18.60065 20.86575"
"-18.60028333 20.86428333"
"-18.60035 20.86281667"
"-18.59775 20.85186667"
"-18.59653333 20.84751667"
"-18.59856667 20.84333333"
"-18.59981667 20.8478"
"-18.7183 20.86628333"
"-18.71765 20.86186667"
"-18.72158333 20.86076667"
"-18.71606667 20.86385"
"-18.71701667 20.86326667"
"-18.72275 20.86303333"
"-18.72308333 20.86671667"
"-18.5948 20.84308333"
"-18.5828 20.8403"
"-18.57711667 20.8373"
"-18.48051667 20.83466667"
"-18.55913333 20.83448333"
"-18.58503333 20.83733333"
"-18.59938333 20.8443"
"-18.60058333 20.84843333"
"-18.60058333 20.8529"
"-18.60068333 20.85491667"
"-18.6011 20.85791667"
"-18.60083333 20.85868333"
"-18.59863333 20.862"
"-18.59775 20.8656"
"-18.59868333 20.867"
"-18.6005 20.86725"
"-18.60076667 20.867"
"-18.6004 20.8661"
"-18.60053333 20.86581667"
"-18.60078333 20.86578333"
"-18.60116667 20.86571667"
"-18.60218333 20.86375"
"-18.60228333 20.86316667"
"-18.60223333 20.86063333"
"-18.60206667 20.85881667"
"-18.60095 20.85795"
"-18.59658333 20.84456667"
"-18.59291667 20.84606667"
"-18.5939 20.84666667"
"-18.601 20.85795"
"-18.59581667 20.84275"
"-18.59125 20.84773333"
"-18.59595 20.84313333"
"-18.5951 20.845"
"-18.58738333 20.8445"
"-18.58516667 20.8448"
"-18.58328333 20.84508333"
"-18.57695 20.8363"
"-18.58456667 20.83893333"
"-18.59588333 20.84281667"
"-18.59186667 20.8469"
"-18.59505 20.8439"
"-18.59801667 20.84268333"
"-18.59586667 20.84285"
"-18.59228333 20.8476"
"-18.59101667 20.85338333"
"-18.5787 20.83751667"
"-18.58361667 20.83416667"
"-18.5971 20.8397"
"-18.60125 20.84298333"
"-18.68383333 20.75593333"
"-18.72818333 20.80058333"
"-18.75861667 20.80973333"
"-18.72396667 20.85566667"
"-18.7244 20.86101667"
"-18.72088333 20.86076667"
"-18.72063333 20.86006667"
"-18.72001667 20.85508333"
"-18.71953333 20.85338333"
"-18.72106667 20.8583"
"-18.72353333 20.8602"
"-18.72466667 20.86065"
"-18.72131667 20.86103333"
"-18.71478333 20.86005"
"-18.72216667 20.86191667"
"-18.71956667 20.86178333"
"-18.71735 20.8612"
"-18.71428333 20.85965"
"-18.71976667 20.862"
"-18.59701667 20.8435"
"-18.59568333 20.84325"
"-18.59828333 20.84603333"
"-18.60183333 20.86396667"
"-18.59983333 20.8589"
"-18.59551667 20.85308333"
"-18.59781667 20.85323333"
"-18.71528333 20.85918333"
"-18.72078333 20.86095"
"-18.72031667 20.86165"
"-18.72513333 20.86353333"
"-18.72606667 20.8606"
"-18.72288333 20.8609"
"-18.76181667 20.80926667"
"-18.76011667 20.81"
"-18.75988333 20.81036667"
"-18.7595 20.81081667"
"-18.7592 20.81336667"
"-18.75893333 20.8163"
"-18.75926667 20.81915"
"-18.76051667 20.82028333"
"-18.72201667 20.86086667"
"-18.72655 20.85996667"
"-18.72725 20.86145"
"-18.7241 20.86313333"
"-18.72095 20.8608"
"-18.72255 20.86073333"
"-18.7215 20.85945"
"-18.72228333 20.85411667"
"-18.6831 20.75593333"
"-18.72065 20.8598"
"-18.71335 20.86095"
"-18.71568333 20.86378333"
"-18.59341667 20.84633333"
"-18.58675 20.84821667"
"-18.58533333 20.84893333"
"-18.5859 20.84928333"
"-18.58603333 20.83941667"
"-18.59738333 20.84285"
"-18.5937 20.8458"
"-18.58833333 20.84651667"
"-18.58478333 20.8449"
"-18.58021667 20.84143333"
"-18.57708333 20.8393"
"-18.57658333 20.83798333"
"-18.57685 20.83715"
"-18.57408333 20.83333333"
"-18.57401667 20.8332"
"-18.57416667 20.83148333"
"-18.57728333 20.83233333"
"-18.57665 20.83471667"
"-18.57358333 20.83488333"
"-18.57163333 20.83438333"
"-18.57325 20.83828333"
"-18.57706667 20.83893333"
"-18.57848333 20.83865"
"-18.58383333 20.84108333"
"-18.58556667 20.84265"
"-18.58933333 20.84408333"
"-18.5931 20.84358333"
"-18.59355 20.84181667"
"-18.58995 20.84018333"
"-18.58511667 20.83871667"
"-18.58056667 20.83808333"
"-18.57723333 20.83718333"
"-18.5759 20.83423333"
"-18.5758 20.83013333"
"-18.57333333 20.83348333"
"-18.5762 20.83471667"
"-18.58743333 20.83501667"
"-18.59485 20.83906667"
"-18.59323333 20.84561667"
"-18.59013333 20.84831667"
"-18.58723333 20.84941667"
"-18.58403333 20.8506"
"-18.5881666699999 20.85118333"
"-18.5973 20.8487"
"-18.59953333 20.85785"
"-18.60123333 20.86048333"
"-18.60135 20.86231667"
"-18.60211667 20.86986667"
"-18.72095 20.86086667"
"-18.72095 20.86081667"
"-18.72241667 20.85638333"
"-18.72093333 20.86075"
"-18.72346667 20.86125"
"-18.7595 20.81331667"
"-18.72215 20.8609"
"-18.72088333 20.85885"
"-18.68381667 20.7552"
"-18.68446667 20.75653333"
"-18.72123333 20.85915"
"-18.72183333 20.86106667"
"-18.71728333 20.86428333"
"-18.71598333 20.8643"
"-18.59625 20.84335"
"-18.5911 20.84606667"
"-18.58801667 20.8466"
"-18.58615 20.84686667"
"-18.48041667 20.836"
"-18.48285 20.83613333"
"-18.58788333 20.83973333"
"-18.59598333 20.84275"
"-18.59288333 20.84166667"
"-18.58873333 20.84008333"
"-18.5842 20.83975"
"-18.5772 20.83776667"
"-18.57515 20.83623333"
"-18.5737 20.83571667"
"-18.89628333 20.87111667"
"-18.89615 20.87093333"
"-18.8962 20.8711"
"-18.8962833299999 20.87106667"
"-18.89621667 20.87106667"
"-18.89601667 20.8712"
"-18.89615 20.87135"
"-18.89616667 20.87116667"
