"X","Y","DateTime","ID","dry_recurse$revisits","revisits"
1119204.62986056,-2066827.67862075,2013-07-07 17:41:00,"MET.K2",29,29
1119814.90714317,-2066975.58613378,2013-07-09 17:41:00,"MET.K2",29,29
1119384.70621274,-2080166.24530334,2013-07-10 13:41:00,"MET.K2",29,29
1118741.05001702,-2080133.90378195,2013-07-12 12:03:00,"MET.K2",76,76
1118678.00946678,-2080224.51722416,2013-07-12 16:03:00,"MET.K2",73,73
1119085.61631856,-2099579.23121079,2013-07-13 12:03:00,"MET.K2",51,51
1119452.15446225,-2080370.53904352,2013-08-02 21:23:00,"MET.K2",26,26
1119667.43853129,-2080216.35779722,2013-08-03 01:22:00,"MET.K2",24,24
1118871.35868505,-2080306.89586487,2013-08-05 21:22:00,"MET.K2",73,73
1119237.34030715,-2080189.19281926,2013-08-07 21:23:00,"MET.K2",54,54
1117941.23661154,-2066706.63861323,2013-08-11 04:57:00,"MET.K2",26,26
1118492.7559061,-2067191.82004765,2013-08-13 20:56:00,"MET.K2",22,22
1119086.93604466,-2080197.21093043,2013-08-16 19:44:00,"MET.K2",77,77
1118726.75184475,-2080138.99413772,2013-08-16 20:15:00,"MET.K2",75,75
1118940.78692913,-2080236.88507521,2013-08-19 20:42:00,"MET.K2",77,77
1118736.36685346,-2080115.2109345,2013-08-19 21:12:00,"MET.K2",75,75
1118833.51749164,-2080275.98721892,2013-08-19 21:43:00,"MET.K2",73,73
1119088.58952717,-2080629.2073129,2013-08-19 22:12:00,"MET.K2",41,41
1119287.82980298,-2080747.00854413,2013-08-19 22:42:00,"MET.K2",22,22
1119420.60939541,-2080577.12773429,2013-08-22 19:58:00,"MET.K2",26,26
1118728.51663285,-2080139.05228349,2013-08-28 20:11:00,"MET.K2",75,75
1116927.53350728,-2052809.68840673,2013-08-28 18:45:00,"MET.K3",25,25
1116872.49803227,-2053252.78998995,2013-08-30 22:45:00,"MET.K3",37,37
1110294.0411453,-2094289.41712185,2014-06-03 17:17:00,"MET.K3",27,27
1110679.96084374,-2094791.40775038,2014-06-03 18:17:00,"MET.K3",51,51
1112369.44970295,-2096168.50605112,2014-06-04 09:18:00,"MET.K3",23,23
1112794.25989668,-2096343.74914181,2014-06-04 10:17:00,"MET.K3",25,25
1115569.02412917,-2100003.77077803,2014-06-07 17:17:00,"MET.K3",24,24
1115887.08763766,-2100309.05859837,2014-06-10 14:51:00,"MET.K3",29,29
1116234.38849556,-2100211.19763578,2014-06-10 22:51:00,"MET.K3",25,25
