"","unique","revisits2013w","revisits2014w","revisits2015w","revisits2013d","revisits2014d","revisits2015d","X","Y","diff2013","diff2014","diff2015"
"238","932",0,1,0,0,0,0,1106478.70506486,-2073416.2349313,0,1,0
"239","933",0,0,0,0,1,0,1097294.25680521,-2073122.98089271,0,-1,0
"240","934",0,3,4,0,0,1,1108655.03554554,-2073835.121838,0,3,3
"241","935",0,1,0,0,4,0,1114918.08078867,-2073944.34204373,0,-3,0
"242","936",0,1,2,1,1,0,1126438.02254533,-2074285.87221693,-1,0,2
"243","938",0,0,0,0,0,1,1125413.41383165,-2074216.48731838,0,0,-1
"244","939",0,1,0,0,0,0,1105794.59463902,-2073641.49877718,0,1,0
"245","940",0,0,0,0,0,1,1122334.39948523,-2074206.93157529,0,0,-1
"246","942",0,0,0,0,0,0,1099297.51330779,-2073524.18006582,0,0,0
"247","943",0,0,0,0,0,0,1128785.8548196,-2074483.24900748,0,0,0
"248","944",0,0,0,0,1,0,1123266.26804949,-2074484.02451957,0,-1,0
"249","947",0,0,0,0,2,2,1117236.94366366,-2074350.31066042,0,-2,-2
"250","948",0,0,0,0,0,0,1101122.28387791,-2073985.01762235,0,0,0
"251","949",0,1,2,0,0,1,1110659.12692933,-2074419.24309928,0,1,1
"252","951",0,0,0,0,0,0,1092974.80784723,-2073753.36443568,0,0,0
"253","952",0,0,0,0,0,0,1122458.49372817,-2074657.57817687,0,0,0
"254","955",0,0,0,0,0,0,1132595.58342708,-2075246.72397263,0,0,0
"255","957",0,0,0,0,1,1,1112989.99652919,-2074642.06944559,0,-1,-1
"256","958",0,0,0,0,0,0,1102557.90855291,-2074374.52610347,0,0,0
"257","959",0,0,0,0,4,0,1114658.08084422,-2074915.72435534,0,-4,0
"258","962",0,0,0,0,0,0,1112482.79944202,-2074836.6367314,0,0,0
"259","963",0,0,0,0,0,0,1109117.77599933,-2074842.86042517,0,0,0
"260","965",0,0,2,0,2,3,1120621.78988611,-2075353.94605484,0,-2,-1
"261","967",0,33,12,0,9,9,1106515.28349746,-2075258.04941849,0,24,3
"262","968",0,0,0,0,0,0,1096240.55125991,-2074453.95958871,0,0,0
"263","973",0,1,2,0,1,4,1123664.15964745,-2075565.26382422,0,0,-2
"264","975",0,0,2,0,0,0,1129899.16728086,-2075841.27716138,0,0,2
