"X","Y","DateTime","ID","wet_recurse$revisits","revisits"
1089115.63214441,-2120494.89902145,2013-11-05 09:26:00,"MET.K10",37,37
1088799.0693073,-2120753.44729149,2013-11-06 20:26:00,"MET.K10",35,35
1088800.82944589,-2120753.50365555,2013-11-06 21:26:00,"MET.K10",35,35
1088791.95237248,-2120810.66195056,2013-11-06 22:29:00,"MET.K10",35,35
1088783.50948288,-2120799.27352876,2013-11-06 23:29:00,"MET.K10",35,35
1088792.20763826,-2120747.6685364,2013-11-07 00:28:00,"MET.K10",35,35
1088743.68579395,-2120777.61560309,2013-11-07 07:29:00,"MET.K10",34,34
1088345.40962924,-2120507.30038951,2013-11-07 08:29:00,"MET.K10",32,32
1088855.98193347,-2120186.39518713,2013-11-07 09:30:00,"MET.K10",21,21
1102220.56717784,-2106381.35572665,2013-11-08 23:28:00,"MET.K10",23,23
1101715.29781656,-2108472.21276974,2013-11-09 05:29:00,"MET.K10",30,30
1102361.88079427,-2106482.32539701,2013-11-09 07:29:00,"MET.K10",21,21
1102293.39948721,-2105985.2462942,2013-11-09 08:30:00,"MET.K10",48,48
1102267.87896936,-2105956.61605778,2013-11-09 09:28:00,"MET.K10",48,48
1102277.60570997,-2105982.8802624,2013-11-09 10:29:00,"MET.K10",48,48
1102275.83913274,-2105765.97761986,2013-11-09 11:28:00,"MET.K10",46,46
1102483.99210099,-2105926.57470256,2013-11-09 12:29:00,"MET.K10",43,43
1102479.06862384,-2105915.29430645,2013-11-09 13:29:00,"MET.K10",45,45
1102482.17103397,-2105928.36924425,2013-11-09 14:28:00,"MET.K10",43,43
1102244.50780727,-2105807.58661015,2013-11-09 15:29:00,"MET.K10",46,46
1102225.71104839,-2106114.63659926,2013-11-09 16:29:00,"MET.K10",41,41
1101832.38539869,-2108233.22808573,2013-11-09 18:30:00,"MET.K10",27,27
1088787.62144162,-2120780.87584915,2013-11-10 05:28:00,"MET.K10",35,35
1088786.17689564,-2120715.97352022,2013-11-10 06:29:00,"MET.K10",34,34
